Integration Time (micros): 98000         
Min saturation: -188.99394239295856         
Max saturation: 916.0969101751331         
Wavelength (nm), Intensity (Counts)
4.573318771904201867e+02,3.442645603349828889e+03
4.575422667355203430e+02,3.442645603349828889e+03
4.577526416458474614e+02,3.383157301396738148e+03
4.579630019200187689e+02,3.325587976926005013e+03
4.581733475566509810e+02,3.527080612573570306e+03
4.583836785543610972e+02,3.352453661679013749e+03
4.585939949117661172e+02,3.406185031185031221e+03
4.588042966274828700e+02,3.427293783490966689e+03
4.590145837001283553e+02,3.383157301396738148e+03
4.592248561283195158e+02,3.363967526573160285e+03
4.594351139106732944e+02,3.408104008667388825e+03
4.596453570458065201e+02,3.346696729231940481e+03
4.598555855323363630e+02,3.379319346432022485e+03
4.600657993688793681e+02,3.385076278879095753e+03
4.602759985540528760e+02,3.429212760973324293e+03
4.604861830864736589e+02,3.400428098737957953e+03
4.606963529647586029e+02,3.427293783490966689e+03
4.609065081875246506e+02,3.329425931890720676e+03
4.611166487533888017e+02,3.385076278879095753e+03
4.613267746609679421e+02,3.400428098737957953e+03
4.615368859088790146e+02,3.427293783490966689e+03
4.617469824957390188e+02,3.375481391467306821e+03
4.619570644201648406e+02,3.385076278879095753e+03
4.621671316807733092e+02,3.331344909373078281e+03
4.623771842761815947e+02,3.415779918596820153e+03
4.625872222050064124e+02,3.337101841820151549e+03
4.627972454658647621e+02,3.431131738455681898e+03
4.630072540573736433e+02,3.346696729231940481e+03
4.632172479781499987e+02,3.358210594126087017e+03
4.634272272268106576e+02,3.354372639161371353e+03
4.636371918019726195e+02,3.438807648385113225e+03
4.638471417022528271e+02,3.350534684196656144e+03
4.640570769262681665e+02,3.419617873561535362e+03
4.642669974726356372e+02,3.398509121255600348e+03
4.644769033399721252e+02,3.484863107961699370e+03
4.646867945268946301e+02,3.546270387397148170e+03
4.648966710320199809e+02,3.513647770197066166e+03
4.651065328539651773e+02,3.402347076220315557e+03
4.653163799913471621e+02,3.312155134549500872e+03
4.655262124427829349e+02,3.346696729231940481e+03
4.657360302068892111e+02,3.469511288102837625e+03
4.659458332822832176e+02,3.396590143773242289e+03
